file_size iteration peer duration
100 17 1 28131808
100 17 2 28137102
100 17 3 28138082
100 17 4 28140126
100 17 5 28140035
100 17 6 28148828
100 17 7 28157206
100 17 8 28171271
1 18 0 38267
1 18 1 1030505
1 18 2 1030611
1 18 3 1032038
1 18 4 1034749
1 18 5 1034721
1 18 6 1035674
1 18 7 1035417
1 18 8 1036659
50 18 0 14063572
50 18 1 14073204
50 18 2 14080397
50 18 3 14081002
50 18 4 14084814
50 18 5 14086934
50 18 6 14087214
50 18 7 14091544
50 18 8 15077038
100 18 0 28125535
100 18 1 28142885
100 18 2 28149443
100 18 3 28151524
100 18 4 28148800
100 18 5 28163440
100 18 6 28163491
100 18 7 29142379
100 18 8 29150537
1 19 0 38081
1 19 1 1031228
1 19 2 1033250
1 19 3 1034541
1 19 4 1036463
1 19 5 1037082
1 19 6 1037425
1 19 7 1041273
1 19 8 1042943
50 19 0 14073196
50 19 1 14079913
50 19 2 14080624
50 19 3 14082333
50 19 4 14086913
50 19 5 14090996
50 19 6 14096112
50 19 7 14096361
50 19 8 14111460
100 19 0 28132073
100 19 1 28143754
100 19 2 28145708
100 19 3 28148358
100 19 4 28150463
100 19 5 28160718
100 19 6 28162118
100 19 7 28165241
100 19 8 28168916
1 20 0 37998
1 20 1 1029981
1 20 2 1032566
1 20 3 1034693
1 20 4 1034696
1 20 5 1037278
1 20 6 1040275
1 20 7 1042153
1 20 8 1050723
50 20 0 13100291
50 20 1 14082604
50 20 2 14088177
50 20 3 14092021
50 20 4 14099244
50 20 5 14104674
50 20 6 14102023
50 20 7 14107926
50 20 8 14114198
100 20 0 28128808
100 20 1 28128749
100 20 2 28134758
100 20 3 28141850
100 20 4 28145054
100 20 5 28158432
100 20 6 29138865
100 20 7 29148701
100 20 8 29150320
1 21 0 38256
1 21 1 41233
1 21 2 41731
1 21 3 43289
1 21 4 43308
1 21 5 1027121
1 21 6 1027395
1 21 7 1030599
1 21 8 1032763
50 21 0 14064507
50 21 1 14070786
50 21 2 14077964
50 21 3 14084407
50 21 4 14084558
50 21 5 14091390
50 21 6 14091882
50 21 7 14095582
50 21 8 14285329
100 21 0 28131342
100 21 1 28132412
100 21 2 28133346
100 21 3 28134893
100 21 4 28140070
100 21 5 28146444
100 21 6 28149853
100 21 7 28154314
100 21 8 28163584
1 22 0 37979
1 22 1 1032066
1 22 2 1035239
1 22 3 1039148
1 22 4 1039432
1 22 5 1042952
1 22 6 1043544
1 22 7 1046003
1 22 8 1048236
50 22 0 14075938
50 22 1 14079585
50 22 2 14086891
50 22 3 14086965
50 22 4 14097951
50 22 5 14110252
50 22 6 15091290
50 22 7 15091649
50 22 8 15093571
100 22 0 28115595
100 22 1 28120934
100 22 2 28121947
100 22 3 28126467
100 22 4 28140146
100 22 5 28141877
100 22 6 28146102
100 22 7 28157909
100 22 8 28163398
1 23 0 36978
1 23 1 39502
1 23 2 40913
1 23 3 41132
1 23 4 41844
1 23 5 48000
1 23 6 43208
1 23 7 47572
1 23 8 47907
50 23 0 16050099
50 23 1 16098397
50 23 2 16101905
50 23 3 16106141
50 23 4 17093661
50 23 5 17091537
50 23 6 17103115
50 23 7 17104350
50 23 8 17096750
100 23 0 28132911
100 23 1 28140516
100 23 2 28143439
100 23 3 28145971
100 23 4 28148969
100 23 5 28150623
100 23 6 28160543
100 23 7 28159684
100 23 8 28163870
1 24 0 40970
1 24 1 1033882
1 24 2 1034409
1 24 3 1037462
1 24 4 1038753
1 24 5 1038807
1 24 6 1039843
